year month day AAPL GOOGL MSFT PG XOM
2006  05  30 8.36 186.16 19.32 42.97 50.09
2006  05  31 8.16 186.1 18.9 42.87 50.69
2006  06  01 8.49 191.5 19.04 43.05 50.85
2006  06  02 8.42 189.91 18.99 42.63 51.3
2006  06  05 8.19 187.41 18.77 42.03 49.97
2006  06  06 8.15 195.19 18.46 42.18 50.26
2006  06  07 8.0 193.45 18.39 42.07 48.95
2006  06  08 8.3 196.85 18.45 43.26 49.57
2006  06  09 8.09 193.48 18.29 43.03 48.93
2006  06  12 7.78 190.96 18.11 42.92 48.46
2006  06  13 7.96 193.45 17.95 42.78 47.14
2006  06  14 7.87 192.39 18.26 43.33 48.1
2006  06  15 8.11 195.7 18.41 43.37 49.2
2006  06  16 7.86 195.55 18.44 43.48 48.93
2006  06  19 7.81 194.26 18.81 43.36 47.76
2006  06  20 7.85 193.78 18.82 43.92 47.76
2006  06  21 7.9 201.27 19.26 44.11 48.31
2006  06  22 8.14 200.18 19.09 44.14 48.24
2006  06  23 8.03 202.63 18.77 44.04 48.35
2006  06  26 8.05 202.31 19.04 44.25 48.95
2006  06  27 7.84 201.36 19.07 44.06 49.64
2006  06  28 7.65 203.26 19.32 44.07 50.86
2006  06  29 8.05 209.11 19.58 45.04 51.9
2006  06  30 7.82 209.87 19.44 43.94 51.05
2006  07  03 7.91 211.81 19.77 44.49 51.72
2006  07  05 7.78 210.94 19.48 44.2 52.05
2006  07  06 7.62 211.81 19.59 44.61 52.82
2006  07  07 7.56 210.44 19.44 44.65 52.29
2006  07  10 7.51 209.31 19.61 45.03 52.46
2006  07  11 7.6 212.49 19.27 45.24 53.24
2006  07  12 7.23 208.83 18.89 44.74 53.23
2006  07  13 7.13 204.62 18.57 44.68 53.32
2006  07  14 6.92 201.95 18.6 43.99 54.01
2006  07  17 7.15 204.15 18.76 44.11 53.26
2006  07  18 7.22 201.73 18.97 44.1 53.76
2006  07  19 7.39 199.7 19.52 45.01 53.81
2006  07  20 8.26 193.75 19.07 44.99 53.46
2006  07  21 8.29 195.25 19.92 44.56 53.2
2006  07  24 8.39 195.65 20.02 45.22 54.39
2006  07  25 8.46 194.87 20.21 45.2 54.7
2006  07  26 8.72 192.94 20.33 45.03 55.42
2006  07  27 8.66 191.39 19.92 44.85 55.31
2006  07  28 8.96 194.25 20.23 45.15 55.75
2006  07  31 9.28 193.49 20.07 44.66 56.37
2006  08  01 9.17 187.94 20.02 44.45 56.74
2006  08  02 9.31 183.8 20.28 46.32 56.98
2006  08  03 9.5 187.88 20.2 47.24 56.89
2006  08  04 9.33 187.11 20.27 47.24 57.16
2006  08  07 9.18 189.16 20.21 47.2 57.61
2006  08  08 8.85 190.69 20.31 47.46 57.64
2006  08  09 8.68 188.66 20.39 47.31 57.66
2006  08  10 8.75 187.29 20.41 47.89 57.97
2006  08  11 8.69 184.43 20.38 47.89 58.29
2006  08  14 8.73 184.9 20.47 47.49 57.89
2006  08  15 9.07 190.68 20.62 48.03 57.42
2006  08  16 9.28 194.05 20.68 48.01 56.49
2006  08  17 9.23 193.09 20.68 47.95 56.91
2006  08  18 9.27 191.87 21.6 47.99 57.77
2006  08  21 9.09 188.84 21.87 48.3 58.38
2006  08  22 9.23 189.33 21.46 48.51 58.7
2006  08  23 9.19 186.9 21.5 48.41 58.21
2006  08  24 9.26 187.05 21.56 48.51 59.12
2006  08  25 9.39 186.82 21.65 48.37 58.88
2006  08  28 9.15 190.67 21.73 48.46 58.6
2006  08  29 9.08 189.66 21.64 48.63 58.03
2006  08  30 9.14 190.57 21.61 49.07 57.1
2006  08  31 9.26 189.45 21.52 49.19 56.57
2006  09  01 9.34 189.49 21.64 49.2 56.93
2006  09  05 9.76 192.37 21.45 48.92 57.25
2006  09  06 9.56 190.26 21.45 48.82 56.16
2006  09  07 9.94 189.43 21.3 48.9 56.59
2006  09  08 9.9 189.11 21.44 48.59 55.85
2006  09  11 9.9 192.24 21.7 49.21 54.29
2006  09  12 9.92 196.15 21.71 49.15 54.09
2006  09  13 10.13 203.49 21.76 48.13 54.64
2006  09  14 10.13 202.19 22.05 48.29 54.1
2006  09  15 10.12 205.15 22.49 48.4 54.05
2006  09  18 10.09 207.55 22.43 48.08 55.43
2006  09  19 10.07 202.11 22.49 48.4 54.76
2006  09  20 10.28 198.7 22.76 48.98 53.6
2006  09  21 10.19 203.63 22.53 49.06 54.16
2006  09  22 9.97 202.09 22.33 49.12 54.26
2006  09  25 10.34 202.19 22.57 49.5 54.39
2006  09  26 10.6 203.64 22.78 49.65 55.54
2006  09  27 10.43 201.66 22.98 49.85 56.12
2006  09  28 10.52 201.99 22.95 49.48 56.4
2006  09  29 10.51 201.15 22.9 49.25 56.1
2006  10  02 10.22 200.92 22.91 49.3 56.01
2006  10  03 10.12 202.22 22.92 49.51 54.68
2006  10  04 10.29 208.06 23.4 50.33 55.69
2006  10  05 10.22 206.11 23.38 50.48 56.28
2006  10  06 10.13 210.46 23.34 50.14 56.45
2006  10  09 10.19 214.71 23.21 49.94 55.64
2006  10  10 10.08 213.54 23.19 49.84 56.18
2006  10  11 10.0 213.46 23.06 49.65 55.62
2006  10  12 10.28 213.93 23.63 49.6 56.56
2006  10  13 10.24 213.86 23.76 49.37 57.18
2006  10  16 10.3 211.09 23.83 49.31 58.38
2006  10  17 10.14 210.53 23.82 49.47 58.03
2006  10  18 10.18 209.86 23.88 49.99 57.83
2006  10  19 10.79 213.24 23.69 49.92 58.29
2006  10  20 10.92 230.07 23.81 50.06 58.14
2006  10  23 11.12 240.63 23.83 50.54 58.45
2006  10  24 11.07 236.89 23.68 50.22 58.43
2006  10  25 11.15 243.54 23.71 50.42 59.36
2006  10  26 11.22 242.79 23.74 50.71 59.87
2006  10  27 10.98 237.84 23.73 50.76 59.74
2006  10  30 10.98 238.52 23.89 50.96 59.22
2006  10  31 11.07 238.43 24.04 50.63 59.71
2006  11  01 10.81 233.98 24.13 50.35 59.41
2006  11  02 10.78 235.19 24.09 50.53 59.51
2006  11  03 10.69 236.14 24.06 50.63 60.32
2006  11  06 10.88 238.71 24.15 50.76 60.95
2006  11  07 10.99 236.52 24.24 51.2 60.64
2006  11  08 11.26 237.74 24.27 51.15 61.97
2006  11  09 11.38 236.55 24.5 50.95 62.64
2006  11  10 11.35 237.01 24.49 50.87 62.48
2006  11  13 11.52 240.76 24.58 50.51 62.49
2006  11  14 11.61 244.89 24.56 50.47 62.51
2006  11  15 11.48 246.21 24.47 50.41 62.8
2006  11  16 11.69 248.2 24.76 50.73 61.02
2006  11  17 11.72 249.64 24.7 51.0 61.36
2006  11  20 11.81 247.77 25.12 50.87 60.81
2006  11  21 12.1 255.08 25.14 50.52 61.62
2006  11  22 12.33 254.26 25.14 50.83 61.22
2006  11  24 12.51 252.75 25.01 50.74 60.77
2006  11  27 12.23 242.62 24.77 50.19 60.85
2006  11  28 12.54 244.99 24.7 50.37 62.27
2006  11  29 12.53 242.57 24.85 50.48 63.84
2006  11  30 12.52 242.65 24.67 50.15 64.49
2006  12  01 12.47 240.64 24.47 50.07 64.82
2006  12  04 12.44 242.67 24.65 50.65 65.3
2006  12  05 12.46 243.74 24.48 50.72 65.54
2006  12  06 12.27 244.6 24.36 50.95 64.07
2006  12  07 11.88 241.56 24.24 50.95 63.57
2006  12  08 12.05 242.3 24.7 51.03 63.39
2006  12  11 12.12 242.21 24.82 51.01 63.27
2006  12  12 11.76 241.13 24.73 50.87 64.02
2006  12  13 12.16 239.73 24.83 50.63 64.95
2006  12  14 12.09 241.3 25.27 50.59 66.1
2006  12  15 11.98 240.39 25.37 51.2 64.9
2006  12  18 11.67 231.63 25.12 51.24 63.4
2006  12  19 11.79 234.55 25.2 51.42 64.64
2006  12  20 11.57 231.68 25.28 51.49 63.88
2006  12  21 11.32 228.33 25.19 51.15 63.7
2006  12  22 11.22 228.02 24.91 50.95 63.32
2006  12  26 11.13 228.99 25.2 51.27 63.85
2006  12  27 11.13 234.25 25.23 51.45 64.62
2006  12  28 11.04 231.51 25.19 51.5 64.93
2006  12  29 11.58 230.47 25.09 51.33 64.34
2007  01  03 11.44 234.03 25.09 51.54 62.22
2007  01  04 11.7 241.87 25.05 51.15 61.06
2007  01  05 11.61 243.84 24.91 50.71 61.49
2007  01  08 11.67 242.03 25.15 50.83 61.0
2007  01  09 12.64 242.99 25.18 50.7 60.53
2007  01  10 13.24 244.97 24.92 51.31 59.6
2007  01  11 13.08 250.11 25.8 51.62 59.6
2007  01  12 12.92 252.75 26.23 51.91 61.01
2007  01  16 13.26 252.39 26.18 51.91 60.14
2007  01  17 12.96 248.89 26.13 52.45 60.84
2007  01  18 12.16 244.16 26.05 52.59 60.42
2007  01  19 12.08 245.12 26.14 53.04 61.74
